index,company_name,date,ticker,cusip,reviews_url
0,10x genomics inc,2019-09-12T00:00:00.000000000,TXG,88025U109,https://www.glassdoor.com/Reviews/10x-Genomics-Reviews-E884452.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
1,111 inc adr,20180912,YI,68247Q102,https://www.glassdoor.com/Reviews/ADR-Reviews-E1355985.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
2,1life healthcare inc,2020-01-31T00:00:00.000000000,ONEM,68269G107,https://www.glassdoor.com/Reviews/One-Medical-Reviews-E384849.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
3,1st century bancshares inc,None,None,None,https://www.glassdoor.com/Reviews/1st-Century-Bank-Reviews-E478361.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
4,1st constitution bancorp,None,None,None,https://www.glassdoor.com/Reviews/1st-Constitution-Reviews-E14229.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
5,1st pacific bancorp,None,None,None,https://www.glassdoor.com/Reviews/First-Pacific-Bank-Reviews-E7177390.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
6,1st source corp,None,None,None,https://www.glassdoor.com/Reviews/1st-Source-Reviews-E1069.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
7,1st united bancorp inc,None,None,None,https://www.glassdoor.com/Reviews/1st-United-Bank-Reviews-E315104.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
8,22nd century group inc,None,None,None,https://www.glassdoor.com/Reviews/22nd-Century-Group-Reviews-E6824364.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
9,23andme holding co,None,None,None,https://www.glassdoor.com/Reviews/23andMe-Reviews-E145899.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
10,2seventy bio inc,None,None,None,https://www.glassdoor.com/Reviews/2seventy-bio-Reviews-E6294060.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
11,2u inc,2014-03-28T00:00:00.000000000,TWOU,90214J101,https://www.glassdoor.com/Reviews/2U-Reviews-E324050.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
12,360 digitech inc,2018-12-14T00:00:00.000000000,QFIN,88557W101,https://www.glassdoor.com/Reviews/360-DigiTech-Reviews-E5615850.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
13,360 security technology inc,2011-03-30T00:00:00.000000000,QIHU,74734M109,https://www.glassdoor.com/Reviews/FHI-360-Reviews-E424981.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
14,3com corp,None,None,None,https://www.glassdoor.com/Reviews/3Com-Reviews-E1071.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
15,3d systems corp,None,None,None,https://www.glassdoor.com/Reviews/3D-Systems-Reviews-E2061.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
16,3m co,1983-12-30T00:00:00.000000000,MMM,88579Y101,https://www.glassdoor.com/Reviews/3M-Reviews-E446.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
17,3par inc,20071115,PAR.3,88580F109,https://www.glassdoor.com/Reviews/3PAR-Reviews-E15045.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
18,3sbio inc,2007-02-07T00:00:00.000000000,SSRX,88575Y105,https://www.glassdoor.com/Reviews/3SBio-Reviews-E42477.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
19,4licensing corp,1986-03-07T00:00:00.000000000,FOURQ,35104T107,https://www.glassdoor.com/Reviews/4Licensing-Reviews-E1263250.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
20,51job inc,2004-09-29T00:00:00.000000000,JOBS,316827104,https://www.glassdoor.com/Reviews/51job-Reviews-E35735.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
21,58com inc  adr,2013-10-31T00:00:00.000000000,WUBA,31680Q104,https://www.glassdoor.com/Reviews/ADR-Reviews-E1355985.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
22,6d global technologies,None,None,None,https://www.glassdoor.com/Reviews/6D-Global-Reviews-E605543.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
23,89bio inc,2019-11-11T00:00:00.000000000,ETNB,282559103,https://www.glassdoor.com/Reviews/89bio-Reviews-E3107086.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
24,8x8 inc,1997-07-02T00:00:00.000000000,EGHT,282914100,https://www.glassdoor.com/Reviews/8x8-Reviews-E4045.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
25,9 meters biopharma inc,None,None,None,https://www.glassdoor.com/Reviews/9-Meters-Biopharma-Reviews-E5635205.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
26,908 devices inc,2020-12-18T00:00:00.000000000,MASS,65443P102,https://www.glassdoor.com/Reviews/908-Devices-Reviews-E975838.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
27,99 cents only stores,1996-05-23T00:00:00.000000000,NDN,65440K106,https://www.glassdoor.com/Reviews/99-Cents-Only-Reviews-E5975.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
28,a d a m inc,1995-11-10T00:00:00.000000000,ADAM.1,00088U108,https://www.glassdoor.com/Reviews/A-D-A-M--Reviews-E5387.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
29,a v homes inc,None,None,None,https://www.glassdoor.com/Reviews/Avatar-Holdings-Reviews-E1157.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
30,a10 networks inc,2014-03-21T00:00:00.000000000,ATEN,2121101,https://www.glassdoor.com/Reviews/A10-Networks-Reviews-E261028.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
